premise,hypothesis,label,Target_sentence_position,Experiment_or_filler,Number_of_propositions,Condition,group
The optimist nominated the pitcher and the food despised the chef.,The food despised the chef.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The authorities recognized the figure-skater but the trend disdained the fashionista.,The trend disdained the fashionista.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The auctioneer esteemed the intermediary when the composition disliked the critic.,The composition disliked the critic.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The editor distracted the aristocrat because the method distrusted the scientist.,The method distrusted the scientist.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The dealer scorned the doorman after the terrain dreaded the explorer.,The terrain dreaded the explorer.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The instrument envied the musician and the psychic saluted the user.,The instrument envied the musician.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The situation execrated the preacher but the mason lashed the surgeon.,The situation execrated the preacher.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The storm feared the child when the hiker fascinated the sommelier.,The storm feared the child.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The article hated the critic because the acrobat alerted the englishman.,The articl hated the critic.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The decision lamented the community after the dane advised the candidate.,The decision lamented the community.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The violinist troubled the clown and the recipe loathed the chef.,The recip loathed the chef.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The immigrant understanded the shrink but the event mourned the town.,The event mourned the town.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The organist delighted the gambler when the condition pitied the philanthropist.,The condition pitied the philanthropist.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The caterer mentioned the physicist because the incident regretted the speaker.,The incident regreted the speaker.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The finn esteemed the jockey after the task resented the employee.,The task resented the employee.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The sculpture admired the student and the optician befriended the spy.,The sculptur admired the student.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The doll adored the kid but the paymaster antagonized the spokeswoman.,The doll adored the kid.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The instrument appreciated the musician when the italian fascinated the weatherman.,The instrument appreciated the musician.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The painting coveted the student because the swimmer compensated the busdriver.,The painting coveted the student.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The flavor craved the chef after the husband acknowledged the trendsetter.,The flavor craved the chef.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The officer exposed the commentator and the photograph cherished the grandmother.,The photograph cherished the grandmother.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The locksmith recognized the dissident but the book enjoyed the reader.,The book enjoied the reader.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The forester presented the runner when the scripture exalted the preacher.,The scriptur exalted the preacher.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The chancellor flattered the regular because the journey desired the traveler.,The journei desired the traveler.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The illustrator represented the hunter after the lesson favored the teacher.,The lesson favored the teacher.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The landscape liked the gardener and the photographer persuaded the veterinarian.,The landscap liked the gardener.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The telescope loved the astronomer but the monk pursued the niece.,The telescop loved the astronomer.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The sea missed the sailor when the porter enticed the provost.,The sea missed the sailor.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The rain needed the farmer because the churchgoer reassured the canadian.,The rain needed the farmer.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The applause relished the actor after the australian swindled the authorities.,The applaus relished the actor.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The landscaper addressed the champion and the coffee savored the connoisseur.,The coffe savored the connoisseur.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The stranger humiliated the atheist but the noise tolerated the nurse.,The nois tolerated the nurse.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The poser misleaded the cobbler when the artifact treasured the historian.,The artifact treasured the historian.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The respondent paged the peace-lover because the information trusted the scientist.,The information trusted the scientist.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The illustrator reassured the passenger after the debate valued the philosopher.,The debat valued the philosopher.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The shrine venerated the pilgrim and the wife tailgated the executive.,The shrin venerated the pilgrim.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The adventure wanted the explorer but the encroacher mocked the fugitive.,The adventur wanted the explorer.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The icon worshiped the believer when the suspect outraged the umpire.,The icon worshiped the believer.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The injustice abhorred the activist because the protagonist acknowledged the survivor.,The injustic abhored the activist.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The censorship deplored the journalist after the pastor squeezed the sportscaster.,The censorship deplored the journalist.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The miner observed the concierge and the pollution despised the environmentalist.,The pollution despised the environmentalist.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The pediatrician intrigued the cat but the film disdained the critic.,The film disdained the critic.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The american rejected the concierge when the site disliked the tourist.,The sit disliked the tourist.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The auctioneer provoked the backstabber because the promise distrusted the investor.,The promis distrusted the investor.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The custodian exhausted the heiress after the exam dreaded the student.,The exam dreaded the student.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The trophy envied the competitor and the yardman infected the beautician.,The trophi envied the competitor.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The crime execrated the judge but the victim notified the bricklayer.,The crim execrated the judge.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The dark feared the boy when the hunter contradicted the pacifist.,The dark feared the boy.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The pollution hated the activist because the actuary shamed the socialist.,The pollution hated the activist.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The loss lamented the poet after the investment investigated the optometrist.,The loss lamented the poet.,entailment,first,Experimental,two,ExperienerSubject_implausible,
The fieldworker fascinated the teller and the waste loathed the chef.,The wast loathed the chef.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The fugitive bullied the sherpa but the disaster mourned the community.,The disaster mourned the community.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The cat dazzled the envoy when the disease pitied the doctor.,The diseas pitied the doctor.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The weaver sighted the character because the error regretted the author.,The error regreted the author.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The hypnotist defended the upholsterer after the workload resented the employee.,The workload resented the employee.,entailment,second,Experimental,two,ExperienerSubject_implausible,
The decision agonized the committee and the forester delighted the orthopedist.,The decision agonized the committee.,entailment,first,Experimental,two,ExperienerObject_plausible,
The trick amazed the audience but the dairyman charmed the analyst.,The trick amazed the audience.,entailment,first,Experimental,two,ExperienerObject_plausible,
The cartoon amused the children when the commander hounded the drummer.,The cartoon amused the children.,entailment,first,Experimental,two,ExperienerObject_plausible,
The delay angered the travelers because the paleontologist bemused the auditor.,The delai angered the travelers.,entailment,first,Experimental,two,ExperienerObject_plausible,
The noise annoyed the librarian after the steward consulted the dean.,The nois annoyed the librarian.,entailment,first,Experimental,two,ExperienerObject_plausible,
The physicist shoved the millionnaire and the speech aroused the activists.,The speech aroused the activists.,entailment,second,Experimental,two,ExperienerObject_plausible,
The baroness notified the intruder but the revelation astonished the scientist.,The revelation astonished the scientist.,entailment,second,Experimental,two,ExperienerObject_plausible,
The grocer teased the chief when the lecture bored the students.,The lectur bored the students.,entailment,second,Experimental,two,ExperienerObject_plausible,
The fighter flattered the optimist because the error bothered the engineer.,The error bothered the engineer.,entailment,second,Experimental,two,ExperienerObject_plausible,
The poser watched the dissident after the music calmed the patient.,The music calmed the patient.,entailment,second,Experimental,two,ExperienerObject_plausible,
The performance captivated the crowd and the outsider investigated the entomologist.,The performanc captivated the crowd.,entailment,first,Experimental,two,ExperienerObject_plausible,
The melody comforted the baby but the admiral enraged the typist.,The melodi comforted the baby.,entailment,first,Experimental,two,ExperienerObject_plausible,
The riddle confused the detective when the insider infuriated the cowboy.,The riddl confused the detective.,entailment,first,Experimental,two,ExperienerObject_plausible,
The evidence convinced the jury because the lyricist sighted the censor.,The evidenc convinced the jury.,entailment,first,Experimental,two,ExperienerObject_plausible,
The news depressed the investor after the gambler betraied the yodeler.,The news depressed the investor.,entailment,first,Experimental,two,ExperienerObject_plausible,
The striker deceived the scoundrel and the verdict devastated the defendant.,The verdict devastated the defendant.,entailment,second,Experimental,two,ExperienerObject_plausible,
The impostor lashed the rogue but the outcome disappointed the supporters.,The outcom disappointed the supporters.,entailment,second,Experimental,two,ExperienerObject_plausible,
The prima_donna intimidated the communist when the criticism discouraged the artist.,The criticism discouraged the artist.,entailment,second,Experimental,two,ExperienerObject_plausible,
The coward hosted the soothsayer because the scene disgusted the viewer.,The scen disgusted the viewer.,entailment,second,Experimental,two,ExperienerObject_plausible,
The bishop charmed the petitioner after the alarm disturbed the sleeper.,The alarm disturbed the sleeper.,entailment,second,Experimental,two,ExperienerObject_plausible,
The decision displeased the client and the conservator hounded the interpreter.,The decision displeased the client.,entailment,first,Experimental,two,ExperienerObject_plausible,
The mistake embarrassed the presenter but the litigator exhausted the impostor.,The mistak embarrassed the presenter.,entailment,first,Experimental,two,ExperienerObject_plausible,
The results encouraged the researcher when the storyteller deprecated the optician.,The results encouraged the researcher.,entailment,first,Experimental,two,ExperienerObject_plausible,
The documentary enlightened the viewers because the soundman complimented the italian.,The documentari enlightened the viewers.,entailment,first,Experimental,two,ExperienerObject_plausible,
The announcement excited the fans after the yardman derided the revolutionary.,The announcement excited the fans.,entailment,first,Experimental,two,ExperienerObject_plausible,
The groom healed the executive and the thunder frightened the campers.,The thunder frightened the campers.,entailment,second,Experimental,two,ExperienerObject_plausible,
The commander baffled the midfielder but the puzzle frustrated the gamers.,The puzzle frustrated the gamers.,entailment,second,Experimental,two,ExperienerObject_plausible,
The extremist encountered the sharecropper when the demonstration impressed the investors.,The demonstration impressed the investors.,entailment,second,Experimental,two,ExperienerObject_plausible,
The informer addressed the teller because the interruption irritated the speaker.,The interruption irritated the speaker.,entailment,second,Experimental,two,ExperienerObject_plausible,
The chaplain seduced the warlord after the ending pleased the readers.,The ending pleased the readers.,entailment,second,Experimental,two,ExperienerObject_plausible,
The problem puzzled the mathematician and the gambler goaded the editor.,The problem puzzled the mathematician.,entailment,first,Experimental,two,ExperienerObject_plausible,
The farewell saddened the friends but the flutist recognized the biologist.,The farewell saddened the friends.,entailment,first,Experimental,two,ExperienerObject_plausible,
The explanation satisfied the students when the buyer provoked the reverent.,The explanation satisfied the students.,entailment,first,Experimental,two,ExperienerObject_plausible,
The gift surprised the recipient because the swimmer backed the steelworker.,The gift surprised the recipient.,entailment,first,Experimental,two,ExperienerObject_plausible,
The news shocked the community after the delivery begrudged the embalmer.,The news shocked the community.,entailment,first,Experimental,two,ExperienerObject_plausible,
The newcomer esteemed the electrician and the movie terrified the audience.,The movi terrified the audience.,entailment,second,Experimental,two,ExperienerObject_plausible,
The foreman affronted the blonde but the storm threatened the sailors.,The storm threatened the sailors.,entailment,second,Experimental,two,ExperienerObject_plausible,
The roadworker exposed the shortstop when the ride thrilled the visitors.,The rid thrilled the visitors.,entailment,second,Experimental,two,ExperienerObject_plausible,
The opportunist belittled the go-between because the change upset the regulars.,The chang upseted the regulars.,entailment,second,Experimental,two,ExperienerObject_plausible,
The undergraduate honored the publisher after the symptoms worried the doctor.,The symptoms worried the doctor.,entailment,second,Experimental,two,ExperienerObject_plausible,
The puzzle agonized the student and the nobleman framed the dictator.,The puzzle agonized the student.,entailment,first,Experimental,two,ExperienerObject_plausible,
The illusion amazed the magician but the intruder delighted the chairman.,The illusion amazed the magician.,entailment,first,Experimental,two,ExperienerObject_plausible,
The joke amused the comedian when the instrumentalist poisoned the auctioneer.,The joke amused the comedian.,entailment,first,Experimental,two,ExperienerObject_plausible,
The decision angered the leader because the weatherman intrigued the clarinetist.,The decision angered the leader.,entailment,first,Experimental,two,ExperienerObject_plausible,
The complaint annoyed the homeowner after the auctioneer persuaded the gnome.,The complaint annoyed the homeowner.,entailment,first,Experimental,two,ExperienerObject_plausible,
The sommelier diagnosed the refugee and the speech aroused the activist.,The speech aroused the activist.,entailment,second,Experimental,two,ExperienerObject_plausible,
The dramatist shamed the champion but the discovery astonished the archaeologist.,The discoveri astonished the archaeologist.,entailment,second,Experimental,two,ExperienerObject_plausible,
The cabbie applauded the messenger when the monologue bored the actor.,The monologu bored the actor.,entailment,second,Experimental,two,ExperienerObject_plausible,
The mover diagnosed the exporter because the buzz bothered the beekeeper.,The buzz bothered the beekeeper.,entailment,second,Experimental,two,ExperienerObject_plausible,
The mover avoided the hairstylist after the breeze calmed the sailor.,The breez calmed the sailor.,entailment,second,Experimental,two,ExperienerObject_plausible,
The painting captivated the curator and the oncologist infuriated the academic.,The painting captivated the curator.,entailment,first,Experimental,two,ExperienerObject_plausible,
The lullaby comforted the child but the helper misleaded the barrister.,The lullaby comforted the child.,entailment,first,Experimental,two,ExperienerObject_plausible,
The equation confused the mathematician when the defender lauded the impostor.,The equation confused the mathematician.,entailment,first,Experimental,two,ExperienerObject_plausible,
The argument convinced the philosopher because the translator beated the treasurer.,The argument convinced the philosopher.,entailment,first,Experimental,two,ExperienerObject_plausible,
The music depressed the listener after the trendsetter plagiarized the dog.,The music depressed the listener.,entailment,first,Experimental,two,ExperienerObject_plausible,
The peace-lover deceived the spaniard and the critique devastated the writer.,The critiqu devastated the writer.,entailment,second,Experimental,two,ExperienerObject_plausible,
The helper yelled the professor but the result disappointed the coach.,The result disappointed the coach.,entailment,second,Experimental,two,ExperienerObject_plausible,
The impostor assuaged the optician when the rejection discouraged the applicant.,The rejection discouraged the applicant.,entailment,second,Experimental,two,ExperienerObject_plausible,
The spokesman peeved the pawnbroker because the litter disgusted the environmentalist.,The litter disgusted the environmentalist.,entailment,second,Experimental,two,ExperienerObject_plausible,
The roadworker noticed the drug after the noise disturbed the researcher.,The nois disturbed the researcher.,entailment,second,Experimental,two,ExperienerObject_plausible,
The verdict displeased the advocate and the blonde intrigued the optimist.,The verdict displeased the advocate.,entailment,first,Experimental,two,ExperienerObject_plausible,
The blunder embarrassed the spokesperson but the liberal remembered the russian.,The blunder embarrassed the spokesperson.,entailment,first,Experimental,two,ExperienerObject_plausible,
The feedback encouraged the student when the surgeon bemused the stranger.,The feedback encouraged the student.,entailment,first,Experimental,two,ExperienerObject_plausible,
The lecture enlightened the scholar because the milkman insulted the taxi-driver.,The lectur enlightened the scholar.,entailment,first,Experimental,two,ExperienerObject_plausible,
The preview excited the director after the understudy appeased the shortstop.,The preview excited the director.,entailment,first,Experimental,two,ExperienerObject_plausible,
The encroacher applauded the photographer and the shadow frightened the guard.,The shadow frightened the guard.,entailment,second,Experimental,two,ExperienerObject_plausible,
The trickster distressed the meteorologist but the game frustrated the player.,The gam frustrated the player.,entailment,second,Experimental,two,ExperienerObject_plausible,
The officer saluted the ringleader when the performance impressed the judge.,The performanc impressed the judge.,entailment,second,Experimental,two,ExperienerObject_plausible,
The running alerted the dog because the glare irritated the driver.,The glar irritated the driver.,entailment,second,Experimental,two,ExperienerObject_plausible,
The champion recognized the courier after the flavor pleased the chef.,The flavor pleased the chef.,entailment,second,Experimental,two,ExperienerObject_plausible,
The clue puzzled the detective and the backstabber plagiarized the poser.,The clu puzzled the detective.,entailment,first,Experimental,two,ExperienerObject_plausible,
The ending saddened the audience but the patriot befuddled the botanist.,The ending saddened the audience.,entailment,first,Experimental,two,ExperienerObject_plausible,
The meal satisfied the diner when the logician poked the postdoc.,The meal satisfied the diner.,entailment,first,Experimental,two,ExperienerObject_plausible,
The announcement surprised the employee because the housemaid paged the solicitor.,The announcement surprised the employee.,entailment,first,Experimental,two,ExperienerObject_plausible,
The verdict shocked the audience after the residents singed the fighter.,The verdict shocked the audience.,entailment,first,Experimental,two,ExperienerObject_plausible,
The medic outraged the pole and the roar terrified the zookeeper.,The roar terrified the zookeeper.,entailment,second,Experimental,two,ExperienerObject_plausible,
The commoner alerted the showman but the cloud threatened the farmer.,The cloud threatened the farmer.,entailment,second,Experimental,two,ExperienerObject_plausible,
The machinist overcharged the poser when the news thrilled the investor.,The news thrilled the investor.,entailment,second,Experimental,two,ExperienerObject_plausible,
The athlete challenged the culprit because the malfunction upset the technician.,The malfunction upseted the technician.,entailment,second,Experimental,two,ExperienerObject_plausible,
The finn blamed the percussionist after the forecast worried the captain.,The forecast worried the captain.,entailment,second,Experimental,two,ExperienerObject_plausible,
The committee agonized the decision and the englishman scared the steward.,The committe agonized the decision.,entailment,first,Experimental,two,ExperienerObject_implausible,
The audience amazed the trick but the embalmer misquoted the roadworker.,The audienc amazed the trick.,entailment,first,Experimental,two,ExperienerObject_implausible,
The children amused the cartoon when the warlord offended the hero.,The children amused the cartoon.,entailment,first,Experimental,two,ExperienerObject_implausible,
The travelers angered the delay because the welder mollified the mariner.,The travelers angered the delay.,entailment,first,Experimental,two,ExperienerObject_implausible,
The librarian annoyed the noise after the survivor recognized the porter.,The librarian annoyed the noise.,entailment,first,Experimental,two,ExperienerObject_implausible,
The maverick reassured the telemarketer and the activists aroused the speech.,The activists aroused the speech.,entailment,second,Experimental,two,ExperienerObject_implausible,
The paymaster pated the auctioneer but the scientist astonished the revelation.,The scientist astonished the revelation.,entailment,second,Experimental,two,ExperienerObject_implausible,
The understudy visited the jester when the students bored the lecture.,The students bored the lecture.,entailment,second,Experimental,two,ExperienerObject_implausible,
The traditionalist fancied the usurper because the engineer bothered the error.,The engineer bothered the error.,entailment,second,Experimental,two,ExperienerObject_implausible,
The arbitrator haunted the bassist after the patient calmed the music.,The patient calmed the music.,entailment,second,Experimental,two,ExperienerObject_implausible,
The crowd captivated the performance and the machinist faced the defense.,The crowd captivated the performance.,entailment,first,Experimental,two,ExperienerObject_implausible,
The baby comforted the melody but the jogger awakened the salesman.,The babi comforted the melody.,entailment,first,Experimental,two,ExperienerObject_implausible,
The detective confused the riddle when the cobbler reimbursed the regular.,The detectiv confused the riddle.,entailment,first,Experimental,two,ExperienerObject_implausible,
The jury convinced the evidence because the proofreader diagnosed the loyalist.,The juri convinced the evidence.,entailment,first,Experimental,two,ExperienerObject_implausible,
The investor depressed the news after the planner esteemed the benefactor.,The investor depressed the news.,entailment,first,Experimental,two,ExperienerObject_implausible,
The infantryman pursued the sherpa and the defendant devastated the verdict.,The defendant devastated the verdict.,entailment,second,Experimental,two,ExperienerObject_implausible,
The hippie hosted the porter but the supporters disappointed the outcome.,The supporters disappointed the outcome.,entailment,second,Experimental,two,ExperienerObject_implausible,
The chancellor disparaged the parachutist when the artist discouraged the criticism.,The artist discouraged the criticism.,entailment,second,Experimental,two,ExperienerObject_implausible,
The trumpeter distressed the investment because the viewer disgusted the scene.,The viewer disgusted the scene.,entailment,second,Experimental,two,ExperienerObject_implausible,
The ceo misquoted the victim after the sleeper disturbed the alarm.,The sleeper disturbed the alarm.,entailment,second,Experimental,two,ExperienerObject_implausible,
The client displeased the decision and the academic squeezed the stenographer.,The client displeased the decision.,entailment,first,Experimental,two,ExperienerObject_implausible,
The presenter embarrassed the mistake but the benefactor provoked the restaurateur.,The presenter embarrassed the mistake.,entailment,first,Experimental,two,ExperienerObject_implausible,
The researcher encouraged the results when the leper jinxed the drug.,The researcher encouraged the results.,entailment,first,Experimental,two,ExperienerObject_implausible,
The viewers enlightened the documentary because the tramp undermined the exporter.,The viewers enlightened the documentary.,entailment,first,Experimental,two,ExperienerObject_implausible,
The fans excited the announcement after the caregiver isolated the goalkeeper.,The fans excited the announcement.,entailment,first,Experimental,two,ExperienerObject_implausible,
The husband investigated the aristocrat and the campers frightened the thunder.,The campers frightened the thunder.,entailment,second,Experimental,two,ExperienerObject_implausible,
The commoner harassed the blonde but the gamers frustrated the puzzle.,The gamers frustrated the puzzle.,entailment,second,Experimental,two,ExperienerObject_implausible,
The patriot challenged the yodeler when the investors impressed the demonstration.,The investors impressed the demonstration.,entailment,second,Experimental,two,ExperienerObject_implausible,
The shoemaker scared the traditionalist because the speaker irritated the interruption.,The speaker irritated the interruption.,entailment,second,Experimental,two,ExperienerObject_implausible,
The felon asked the organist after the readers pleased the ending.,The readers pleased the ending.,entailment,second,Experimental,two,ExperienerObject_implausible,
The mathematician puzzled the problem and the gangster avoided the figure-skater.,The mathematician puzzled the problem.,entailment,first,Experimental,two,ExperienerObject_implausible,
The friends saddened the farewell but the opponent ruined the taxi-driver.,The friends saddened the farewell.,entailment,first,Experimental,two,ExperienerObject_implausible,
The students satisfied the explanation when the senior maddened the agnostic.,The students satisfied the explanation.,entailment,first,Experimental,two,ExperienerObject_implausible,
The recipient surprised the gift because the surgeon alienated the hunter.,The recipient surprised the gift.,entailment,first,Experimental,two,ExperienerObject_implausible,
The community shocked the news after the cowboy encountered the nominee.,The communiti shocked the news.,entailment,first,Experimental,two,ExperienerObject_implausible,
The housemaid identified the admiral and the audience terrified the movie.,The audienc terrified the movie.,entailment,second,Experimental,two,ExperienerObject_implausible,
The ophthalmologist insulted the psychic but the sailors threatened the storm.,The sailors threatened the storm.,entailment,second,Experimental,two,ExperienerObject_implausible,
The goalie squeezed the lieutenant when the visitors thrilled the ride.,The visitors thrilled the ride.,entailment,second,Experimental,two,ExperienerObject_implausible,
The jockey snubed the infantryman because the regulars upset the change.,The regulars upseted the change.,entailment,second,Experimental,two,ExperienerObject_implausible,
The stranger encountered the lunatic after the doctor worried the symptoms.,The doctor worried the symptoms.,entailment,second,Experimental,two,ExperienerObject_implausible,
The student agonized the puzzle and the stuntman fascinated the exporter.,The student agonized the puzzle.,entailment,first,Experimental,two,ExperienerObject_implausible,
The magician amazed the illusion but the meteorologist consulted the acupuncturist.,The magician amazed the illusion.,entailment,first,Experimental,two,ExperienerObject_implausible,
The comedian amused the joke when the lieutenant watched the herder.,The comedian amused the joke.,entailment,first,Experimental,two,ExperienerObject_implausible,
The leader angered the decision because the matador derided the hairstylist.,The leader angered the decision.,entailment,first,Experimental,two,ExperienerObject_implausible,
The homeowner annoyed the complaint after the sergeant rushed the consultant.,The homeowner annoyed the complaint.,entailment,first,Experimental,two,ExperienerObject_implausible,
The housemaid signaled the mayor and the activist aroused the speech.,The activist aroused the speech.,entailment,second,Experimental,two,ExperienerObject_implausible,
The partner pacified the pensioner but the archaeologist astonished the discovery.,The archaeologist astonished the discovery.,entailment,second,Experimental,two,ExperienerObject_implausible,
The pharmacist ruined the insider when the actor bored the monologue.,The actor bored the monologue.,entailment,second,Experimental,two,ExperienerObject_implausible,
The girlfriend investigated the spy because the beekeeper bothered the buzz.,The beekeeper bothered the buzz.,entailment,second,Experimental,two,ExperienerObject_implausible,
The optimist observed the sherpa after the sailor calmed the breeze.,The sailor calmed the breeze.,entailment,second,Experimental,two,ExperienerObject_implausible,
The curator captivated the painting and the hairdresser raved the running.,The curator captivated the painting.,entailment,first,Experimental,two,ExperienerObject_implausible,
The child comforted the lullaby but the german eyed the linguist.,The child comforted the lullaby.,entailment,first,Experimental,two,ExperienerObject_implausible,
The mathematician confused the equation when the peace-lover exposed the landlady.,The mathematician confused the equation.,entailment,first,Experimental,two,ExperienerObject_implausible,
The philosopher convinced the argument because the gallery paged the gourmand.,The philosopher convinced the argument.,entailment,first,Experimental,two,ExperienerObject_implausible,
The listener depressed the music after the swimmer agitated the shrink.,The listener depressed the music.,entailment,first,Experimental,two,ExperienerObject_implausible,
The swindler misinformed the porter and the writer devastated the critique.,The writer devastated the critique.,entailment,second,Experimental,two,ExperienerObject_implausible,
The parachutist affronted the capitalist but the coach disappointed the result.,The coach disappointed the result.,entailment,second,Experimental,two,ExperienerObject_implausible,
The camper escorted the fighter when the applicant discouraged the rejection.,The applicant discouraged the rejection.,entailment,second,Experimental,two,ExperienerObject_implausible,
The liberal wounded the know-it-all because the environmentalist disgusted the litter.,The environmentalist disgusted the litter.,entailment,second,Experimental,two,ExperienerObject_implausible,
The psychic flustered the lecturer after the researcher disturbed the noise.,The researcher disturbed the noise.,entailment,second,Experimental,two,ExperienerObject_implausible,
The advocate displeased the verdict and the locksmith defended the despot.,The advocat displeased the verdict.,entailment,first,Experimental,two,ExperienerObject_implausible,
The spokesperson embarrassed the blunder but the electrician relieved the sharecropper.,The spokesperson embarrassed the blunder.,entailment,first,Experimental,two,ExperienerObject_implausible,
The student encouraged the feedback when the gourmand chastised the maverick.,The student encouraged the feedback.,entailment,first,Experimental,two,ExperienerObject_implausible,
The scholar enlightened the lecture because the workaholic affronted the usurper.,The scholar enlightened the lecture.,entailment,first,Experimental,two,ExperienerObject_implausible,
The director excited the preview after the cartographer insulted the mobster.,The director excited the preview.,entailment,first,Experimental,two,ExperienerObject_implausible,
The passenger pinched the saxophonist and the guard frightened the shadow.,The guard frightened the shadow.,entailment,second,Experimental,two,ExperienerObject_implausible,
The lithographer extoled the optometrist but the player frustrated the game.,The player frustrated the game.,entailment,second,Experimental,two,ExperienerObject_implausible,
The interpreter infuriated the deputy when the judge impressed the performance.,The judge impressed the performance.,entailment,second,Experimental,two,ExperienerObject_implausible,
The cowboy awed the geographer because the driver irritated the glare.,The driver irritated the glare.,entailment,second,Experimental,two,ExperienerObject_implausible,
The motorcyclist mollified the homeless after the chef pleased the flavor.,The chef pleased the flavor.,entailment,second,Experimental,two,ExperienerObject_implausible,
The detective puzzled the clue and the rogue exasperated the delivery.,The detectiv puzzled the clue.,entailment,first,Experimental,two,ExperienerObject_implausible,
The audience saddened the ending but the shrink exhausted the miller.,The audienc saddened the ending.,entailment,first,Experimental,two,ExperienerObject_implausible,
The diner satisfied the meal when the heretic notified the sherpa.,The diner satisfied the meal.,entailment,first,Experimental,two,ExperienerObject_implausible,
The employee surprised the announcement because the backstabber hurted the warlord.,The employee surprised the announcement.,entailment,first,Experimental,two,ExperienerObject_implausible,
The audience shocked the verdict after the co-worker awaited the jock.,The audienc shocked the verdict.,entailment,first,Experimental,two,ExperienerObject_implausible,
The skater notified the saxophonist and the zookeeper terrified the roar.,The zookeeper terrified the roar.,entailment,second,Experimental,two,ExperienerObject_implausible,
The meatpacker stared the canadian but the farmer threatened the cloud.,The farmer threatened the cloud.,entailment,second,Experimental,two,ExperienerObject_implausible,
The translator exhausted the miller when the investor thrilled the news.,The investor thrilled the news.,entailment,second,Experimental,two,ExperienerObject_implausible,
The webmaster reassured the fortune-teller because the technician upset the malfunction.,The technician upseted the malfunction.,entailment,second,Experimental,two,ExperienerObject_implausible,
The optician isolated the informer after the captain worried the forecast.,The captain worried the forecast.,entailment,second,Experimental,two,ExperienerObject_implausible,
The mechanic assembled the engine and the upholsterer mentioned the niece.,The engin assembled the mechanic.,non-entailment,first,Experimental,two,Transitive_plausible,
The tailor bent the wire but the lieutenant quized the toolmaker.,The wir bent the tailor.,non-entailment,first,Experimental,two,Transitive_plausible,
The child bit the apple when the groom diagnosed the sorcerer.,The appl bit the child.,non-entailment,first,Experimental,two,Transitive_plausible,
The chef blended the ingredients because the pathologist followed the storyteller.,The ingredients blended the chef.,non-entailment,first,Experimental,two,Transitive_plausible,
The sculptor carved the statue after the opportunist mocked the german.,The statu carved the sculptor.,non-entailment,first,Experimental,two,Transitive_plausible,
The collaborator presented the interpreter and the chef chopped the vegetables.,The vegetables chopped the chef.,non-entailment,second,Experimental,two,Transitive_plausible,
