ItemID,Context,Question,Correct_answer,Target_sentence_position,Experimental_or_filler,Number_of_propositions,Condition
4432,The lady shipped the recipient to the package  but the running mocked the soothsayer.,Did the lady ship the package to the recipient?,No,first,Experimental,two,DativeConstruction_implausible
4433,The guide showed the tourists to the landmarks  when the jeweler asked the petitioner.,Did the guide show the landmarks to the tourists?,No,first,Experimental,two,DativeConstruction_implausible
4434,The man slipped the receptionist to the slip  because the manservant mollified the fighter.,Did the man slip the slip to the receptionist?,No,first,Experimental,two,DativeConstruction_implausible
4435,The smuggler smuggled the man to the goods  after the atheist rated the doomsayer.,Did the smuggler smuggle the goods to the man?,No,first,Experimental,two,DativeConstruction_implausible
4436,The invalid fascinated the midfielder and the boy took the mother to the snack .,Did the boy take the snack to the mother?,No,second,Experimental,two,DativeConstruction_implausible
4437,The dissident cheated the violist but the teacher taught the students to the concept .,Did the teacher teach the concept to the students?,No,second,Experimental,two,DativeConstruction_implausible
4438,The skater tickled the executive when the student told the friend to the joke .,Did the student tell the joke to the friend?,No,second,Experimental,two,DativeConstruction_implausible
4439,The analyst rated the protagonist because the man traded the lady to the bicycle .,Did the man trade the bicycle to the lady?,No,second,Experimental,two,DativeConstruction_implausible
4440,The patent avoided the asylum after the man wrote the author to the letter  .,Did the man write the letter to the author?,No,second,Experimental,two,DativeConstruction_implausible
4441,The manager allocated the department to the budget  and the girlfriend squeezed the sponsor.,Did the manager allocate the budget to the department?,No,first,Experimental,two,DativeConstruction_implausible
4442,The teacher assigned the students to the homework  but the zealot tested the janitor.,Did the teacher assign the homework to the students?,No,first,Experimental,two,DativeConstruction_implausible
4443,The committee awarded the champion to the trophy  when the mutineer challenged the backstabber.,Did the committee award the trophy to the champion?,No,first,Experimental,two,DativeConstruction_implausible
4444,The hostess brought the guests to the drinks  because the dane deceived the paymaster.,Did the hostess bring the drinks to the guests?,No,first,Experimental,two,DativeConstruction_implausible
4445,The secretary emailed the client to the document  after the englishman defeated the parishioner.,Did the secretary email the document to the client?,No,first,Experimental,two,DativeConstruction_implausible
4446,The homeless poked the know-it-all and the company extended the employee to the contract .,Did the company extend the contract to the employee?,No,second,Experimental,two,DativeConstruction_implausible
4447,The fugitive acknowledged the underwriter but the assistant faxed the supervisor to the report .,Did the assistant fax the report to the supervisor?,No,second,Experimental,two,DativeConstruction_implausible
4448,The prince noted the newcomer when the mother fed the baby to the formula .,Did the mother feed the formula to the baby?,No,second,Experimental,two,DativeConstruction_implausible
4449,The patriot applauded the grandfather because the assistant forwarded the team to the message .,Did the assistant forward the message to the team?,No,second,Experimental,two,DativeConstruction_implausible
4450,The skater hounded the dramatist after the philanthropist gave the charity to the donation .,Did the philanthropist give the donation to the charity?,No,second,Experimental,two,DativeConstruction_implausible
4451,The foundation granted the student to the scholarship  and the sinner astounded the miller.,Did the foundation grant the scholarship to the student?,No,first,Experimental,two,DativeConstruction_implausible
4452,The vendor handed the customer to the brochure  but the stonecutter hosted the cheerleader.,Did the vendor hand the brochure to the customer?,No,first,Experimental,two,DativeConstruction_implausible
4453,The workers hauled the site to the equipment  when the storekeeper distressed the defender.,Did the workers haul the equipment to the site?,No,first,Experimental,two,DativeConstruction_implausible
4454,The government issued the owner to the license  because the german derided the taxpayer.,Did the government issue the license to the owner?,No,first,Experimental,two,DativeConstruction_implausible
4455,The friend lent the reader to the book  after the meteorologist targeted the opponent.,Did the friend lend the book to the reader?,No,first,Experimental,two,DativeConstruction_implausible
4456,The parachutist troubled the medic and the landlord leased the tenant to the apartment .,Did the landlord lease the apartment to the tenant?,No,second,Experimental,two,DativeConstruction_implausible
4457,The locksmith disparaged the entomologist but the traveler left the waiter to the tip .,Did the traveler leave the tip to the waiter?,No,second,Experimental,two,DativeConstruction_implausible
4458,The greek compensated the proofreader when the bank loaned the borrower to the money .,Did the bank loan the money to the borrower?,No,second,Experimental,two,DativeConstruction_implausible
4459,The busdriver strangled the contender because the secretary mailed the guests to the invitation .,Did the secretary mail the invitation to the guests?,No,second,Experimental,two,DativeConstruction_implausible
4460,The juggler paged the physicist after the store offered the customers to the discount .,Did the store offer the discount to the customers?,No,second,Experimental,two,DativeConstruction_implausible
4461,The debtor owed the creditor to the debt  and the plaintiff flustered the stenographer.,Did the debtor owe the debt to the creditor?,No,first,Experimental,two,DativeConstruction_implausible
4462,The student passed the classmate to the note  but the soothsayer stared the sinner.,Did the student pass the note to the classmate?,No,first,Experimental,two,DativeConstruction_implausible
4463,The customer paid the cashier to the bill  when the underwriter begrudged the typesetter.,Did the customer pay the bill to the cashier?,No,first,Experimental,two,DativeConstruction_implausible
4464,The author posted the publisher to the manuscript  because the gnome rushed the girlfriend.,Did the author post the manuscript to the publisher?,No,first,Experimental,two,DativeConstruction_implausible
4465,The manager promised the employee to the promotion  after the heiress defended the groom.,Did the manager promise the promotion to the employee?,No,first,Experimental,two,DativeConstruction_implausible
4466,The heiress enraged the patriot and the seller refunded the buyer to the price .,Did the seller refund the price to the buyer?,No,second,Experimental,two,DativeConstruction_implausible
4467,The pollster distracted the oracle but the operator relayed the recipient to the message .,Did the operator relay the message to the recipient?,No,second,Experimental,two,DativeConstruction_implausible
4468,The editor asked the crusader when the debtor repaid the lender to the loan .,Did the debtor repay the loan to the lender?,No,second,Experimental,two,DativeConstruction_implausible
4469,The watchman smacked the pawnbroker because the salesperson sold the customer to the product .,Did the salesperson sell the product to the customer?,No,second,Experimental,two,DativeConstruction_implausible
4470,The commuter infuriated the reception after the company sent the recipient to the package .,Did the company send the package to the recipient?,No,second,Experimental,two,DativeConstruction_implausible
4471,The waiter served the diners to the meal  and the maverick invited the collaborator.,Did the waiter serve the meal to the diners?,No,first,Experimental,two,DativeConstruction_implausible
4472,The retailer shipped the customer to the order  but the postdoc evaluated the pianist.,Did the retailer ship the order to the customer?,No,first,Experimental,two,DativeConstruction_implausible
4473,The guide showed the tourists to the map  when the pastor judged the custodian.,Did the guide show the map to the tourists?,No,first,Experimental,two,DativeConstruction_implausible
4474,The child slipped the girl to the note  because the plumber relieved the sponsor.,Did the child slip the note to the girl?,No,first,Experimental,two,DativeConstruction_implausible
4475,The smuggler smuggled the guy to the contraband  after the caterer ruined the mayor.,Did the smuggler smuggle the contraband to the guy?,No,first,Experimental,two,DativeConstruction_implausible
4476,The deacon singed the tenor and the student took the teacher to the pen .,Did the student take the pen to the teacher?,No,second,Experimental,two,DativeConstruction_implausible
4477,The physiologist spooked the courier but the instructor taught the students to the lesson .,Did the instructor teach the lesson to the students?,No,second,Experimental,two,DativeConstruction_implausible
4478,The benefactor victimized the delinquent when the friend told the audience to the joke .,Did the friend tell the joke to the audience?,No,second,Experimental,two,DativeConstruction_implausible
4479,The milkman lauded the delivery because the trader traded the investor to the stocks .,Did the trader trade the stocks to the investor?,No,second,Experimental,two,DativeConstruction_implausible
4480,The girlfriend persuaded the caterer after the author wrote the readers to the book .,Did the author write the book to the readers?,No,second,Experimental,two,DativeConstruction_implausible
4481,The chef baked the child the cookies and the yachtsman suspected the cobbler.,Did the chef bake the cookies the child?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4482,The agent booked the traveler the flight but the soprano encountered the scoundrel.,Did the agent book the flight the traveler?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4483,The fisherman caught the kid the fish when the protagonist spooked the underwriter.,Did the fisherman catch the fish the kid?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4484,The aunt bought the nephew the toy because the programmer poked the culprit.,Did the aunt buy the toy the nephew?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4485,The sculptor carved the student the sculpture after the inventor related the fighter.,Did the sculptor carve the sculpture the student?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4486,The umpire appeased the physicist and the architect designed the dog the kennel.,Did the architect design the kennel the dog?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4487,The loyalist cheated the commentator but the technician fixed the friend the computer.,Did the technician fix the computer the friend?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4488,The bricklayer befriended the pacifist when the girl found the cat the toy.,Did the girl find the toy the cat?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4489,The postdoc evaluated the commoner because the gardener grew the family the vegetables.,Did the gardener grow the vegetables the family?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4490,The clarinetist nominated the entertainer after the tailor made the sister the dress.,Did the tailor make the dress the sister?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4491,The customer ordered the waiter the meal and the diva delighted the meteorologist.,Did the customer order the meal the waiter?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4492,The artist painted the niece the picture but the henchman mystified the watchman.,Did the artist paint the picture the niece?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4493,The florist picked the kid the flower when the bodyguard ignored the flora.,Did the florist pick the flower the kid?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4494,The chef prepared the guest the meal because the geographer offended the chancellor.,Did the chef prepare the meal the guest?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4495,The landlord rented the cousin the movie after the typesetter humiliated the hotelier.,Did the landlord rent the movie the cousin?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4496,The extremist mentioned the invalid and the organizer reserved the parent the seat.,Did the organizer reserve the seat the parent?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4497,The auditor honored the scout but the baker rolled the child the dough.,Did the baker roll the dough the child?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4498,The sportscaster mentioned the cabinetmaker when the conservationist saved the bird the nest.,Did the conservationist save the nest the bird?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4499,The hoodlum startled the telemarketer because the owner secured the dog the leash.,Did the owner secure the leash the dog?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4500,The protagonist teased the pharmacist after the educator shaped the student the lesson.,Did the educator shape the lesson the student?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4501,The thief stole the criminal the item and the ex-wife swindled the townspeople.,Did the thief steal the item the criminal?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4502,The roommate washed the friend the dish but the percussionist outraged the goalkeeper.,Did the roommate wash the dish the friend?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4503,The author wrote the child the story when the postdoc yelled the cartographer.,Did the author write the story the child?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4504,The coordinator arranged the guest the accommodations because the nobleman alienated the mailman.,Did the coordinator arrange the accommodations the guest?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4505,The manager assembled the team the presentation after the neighbor invoiced the residents.,Did the manager assemble the presentation the team?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4506,The healer inspired the quarterback and the chef grilled the family the burger.,Did the chef grill the burger the family?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4507,The girlfriend watched the infantryman but the volunteer knitted the dog the blanket.,Did the volunteer knit the dog the blanket?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4508,The jockey beged the candidate when the student earned the sister the scholarship.,Did the student earn the scholarship the sister?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4509,The strategist shamed the deacon because the hostess served the guest the tea.,Did the hostess serve the tea the guest?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4510,The prince scorned the smith after the teacher arranged the students the desks.,Did the teacher arrange the desks the students?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4511,The carpenter assembled the children the dollhouse and the fanatic pacified the lithographer.,Did the carpenter assemble the dollhouse the children?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4512,The baker baked the friends the cookies but the interviewer represented the publisher.,Did the baker bake the cookies the friends?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4513,The clerk booked the tourists the room when the mercenary escorted the henchman.,Did the clerk book the room the tourists?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4514,The chef boiled the cat the water because the backstabber shamed the psychopath.,Did the chef boil the water the cat?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4515,The architect built the family the treehouse after the surgeon spoted the censor.,Did the architect build the treehouse the family?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4516,The suspect beged the gnome and the uncle bought the nephew the toy.,Did the uncle buy the toy the nephew?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4517,The venture seduced the nominee but the artist carved the kids the sculpture.,Did the artist carve the sculpture the kids?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4518,The dwarf beated the bullfighter when the cashier cashed the customer the check.,Did the cashier cash the check the customer?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4519,The paymaster eyed the motorcyclist because the boy caught the dog the ball.,Did the boy catch the ball the dog?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4520,The shoemaker honored the greek after the team chartered the travelers the bus.,Did the team charter the bus the travelers?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4521,The maid cleaned the siblings the rooms and the bride excused the workaholic.,Did the maid clean the rooms the siblings?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4522,The researcher compiled the team the report but the clown screamed the doorman.,Did the researcher compile the report the team?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4523,The chef cooked the family the dinner when the realtor poisoned the teenager.,Did the chef cook the dinner the family?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4524,The tailor cut the friend the fabric because the illustrator distracted the concierge.,Did the tailor cut the fabric the friend?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4525,The designer designed the brother the website after the courier appeased the entertainer.,Did the designer design the website the brother?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4526,The importer smacked the dane and the engineers developed the company the software.,Did the engineers develop the software the company?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4527,The plumber raved the patrolman but the employee earned the colleague the bonus.,Did the employee earn the bonus the colleague?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4528,The bishop bemused the hero when the owner got the cat the toy.,Did the owner get the toy the cat?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4529,The prima_donna followed the commentator because the master grilled the friends the vegetables.,Did the master grill the vegetables the friends?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4530,The weatherman tested the matador after the gardeners grew the community the garden.,Did the gardeners grow the garden the community?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4531,The boy knitted the patient the robe and the typist related the excavator.,Did the boy knit the robe the patient?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4532,The owner kept the dog the bone but the shepherd misinformed the jogger.,Did the owner keep the bone the dog?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4533,The chef made the children the cake when the grocer enraged the trendsetter.,Did the chef make the cake the children?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4534,The customer ordered the waiter the meal because the violist alerted the dwarf.,Did the customer order the meal the waiter?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4535,The painter painted the niece the portrait after the commuter escorted the photographer.,Did the painter paint the portrait the niece?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4536,The protestor affronted the trustee and the florist picked the friend the flowers.,Did the florist pick the flowers the friend?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4537,The mason consulted the mapmaker but the chef prepared the guests the feast.,Did the chef prepare the feast the guests?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4538,The agnostic deprecated the forester when the landlord rented the cousin the apartment.,Did the landlord rent the apartment the cousin?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4539,The optimist esteemed the trendsetter because the theatergoer reserved the parents the seats.,Did the theatergoer reserve the seats the parents?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4540,The parent astounded the pharmacist after the dad rolled the children the ball.,Did the dad roll the ball the children?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4541,The conservationist saved the squirrel the nuts and the acupuncturist awaited the pastor.,Did the conservationist save the nuts the squirrel?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4542,The owner secured the dog the leash but the litigator repulsed the auditor.,Did the owner secure the leash the dog?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4543,The host set the guests the table when the candidate encountered the broker.,Did the host set the table the guests?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4544,The therapist shaped the patient the session because the lecturer outraged the prince.,Did the therapist shape the session the patient?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4545,The illusionist stole the thief the moment after the peace-lover relieved the blonde.,Did the illusionist steal the moment the thief?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4546,The forester strangled the diva and the guest washed the host the dishes.,Did the guest wash the dishes the host?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4547,The shoemaker deceived the translator but the author wrote the friend the book.,Did the author write the book the friend?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4548,The litigator misquoted the emissary when the chef boiled the guests the pasta.,Did the chef boil the pasta the guests?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4549,The parent chastised the photographer because the architect built the couple the house.,Did the architect build the house the couple?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4550,The courier alerted the commoner after the man cashed the friend the check.,Did the man cash the check the friend?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4551,The agent chartered the tourists the yacht and the quarterback dismissed the strategist.,Did the agent charter the yacht the tourists?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4552,The cleaner cleaned the parents the house but the biologist overcharged the entomologist.,Did the cleaner clean the house the parents?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4553,The researcher compiled the team the report when the scavenger interviewed the pharmacist.,Did the researcher compile the report the team?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4554,The chef cooked the family the meal because the administrator rejected the swimmer.,Did the chef cook the meal the family?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4555,The team cut the kids the fruit after the train offended the doomsayer.,Did the team cut the fruit the kids?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4556,The brewer contradicted the clarinetist and the mechanic fixed the neighbor the car.,Did the mechanic fix the car the neighbor?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4557,The translator relieved the goalie but the man found the sister the book.,Did the man find the book the sister?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4558,The collaborator derided the stuntman when the girl got the cat the toy.,Did the girl get the toy the cat?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4559,The stenographer esteemed the dwarf because the collector kept the nephew the coin.,Did the collector keep the coin the nephew?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4560,The hero excused the signatory after the decorator set the clients the table.,Did the decorator set the table the clients?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_plausible
4561,The chef baked the cookies the child and the stonecutter goaded the motorcyclist.,Did the chef bake the child the cookies?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4562,The agent booked the flight the traveler but the dean reimbursed the helper.,Did the agent book the traveler the flight?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4563,The fisherman caught the fish the kid when the orthopedist outraged the yodeler.,Did the fisherman catch the kid the fish?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4564,The aunt bought the toy the nephew because the watchmaker invoiced the sportscaster.,Did the aunt buy the nephew the toy?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4565,The sculptor carved the sculpture the student after the skater invited the gourmand.,Did the sculptor carve the student the sculpture?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4566,The programmer notified the general and the architect designed the kennel the dog.,Did the architect design the dog the kennel?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4567,The mason exposed the editor but the technician fixed the computer the friend.,Did the technician fix the friend the computer?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4568,The ophthalmologist exasperated the wizard when the girl found the toy the cat.,Did the girl find the cat the toy?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4569,The poacher ruined the finn because the gardener grew the vegetables the family.,Did the gardener grow the family the vegetables?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4570,The storekeeper perplexed the lithographer after the tailor made the dress the sister.,Did the tailor make the sister the dress?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4571,The customer ordered the meal the waiter and the trooper pinched the stonecutter.,Did the customer order the waiter the meal?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4572,The artist painted the picture the niece but the perpetrator disparaged the conman.,Did the artist paint the niece the picture?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4573,The florist picked the flower the kid when the instrumentalist ignored the sergeant.,Did the florist pick the kid the flower?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4574,The chef prepared the meal the guest because the bride flattered the medic.,Did the chef prepare the guest the meal?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4575,The landlord rented the movie the cousin after the peddler visited the pawnbroker.,Did the landlord rent the cousin the movie?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4576,The prima_donna hurted the art and the organizer reserved the seat the parent.,Did the organizer reserve the parent the seat?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4577,The spaniard advised the prima_donna but the baker rolled the dough the child.,Did the baker roll the child the dough?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4578,The physiologist squeezed the patent when the conservationist saved the nest the bird.,Did the conservationist save the bird the nest?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4579,The goalkeeper entertained the saleslady because the owner secured the leash the dog.,Did the owner secure the dog the leash?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4580,The toymaker suspected the caregiver after the educator shaped the lesson the student.,Did the educator shape the student the lesson?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4581,The thief stole the item the criminal and the analyst troubled the sportscaster.,Did the thief steal the criminal the item?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4582,The roommate washed the dish the friend but the scavenger placated the bodyguard.,Did the roommate wash the friend the dish?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4583,The author wrote the story the child when the propagandist smacked the stenographer.,Did the author write the child the story?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4584,The coordinator arranged the accommodations the guest because the protestor fighted the hypochondriac.,Did the coordinator arrange the guest the accommodations?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4585,The manager assembled the presentation the team after the reception peeved the deacon.,Did the manager assemble the team the presentation?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4586,The pawnbroker haunted the cobbler and the chef grilled the burger the family.,Did the chef grill the family the burger?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4587,The importer related the buyer but the volunteer knit the blanket the dog.,Did the volunteer knit the dog the blanket?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4588,The skater lauded the defender when the student earned the scholarship the sister.,Did the student earn the sister the scholarship?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4589,The gangster defeated the sponsor because the hostess served the tea the guest.,Did the hostess serve the guest the tea?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4590,The minister goaded the authorities after the teacher arranged the desks the students.,Did the teacher arrange the students the desks?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4591,The carpenter assembled the dollhouse the children and the editor raved the veterinarian.,Did the carpenter assemble the children the dollhouse?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4592,The baker baked the cookies the friends but the toymaker encountered the choreographer.,Did the baker bake the friends the cookies?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4593,The clerk booked the room the tourists when the miser baffled the foreman.,Did the clerk book the tourists the room?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4594,The chef boiled the water the cat because the consultant misquoted the clarinetist.,Did the chef boil the cat the water?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4595,The architect built the treehouse the family after the zoologist shamed the poacher.,Did the architect build the family the treehouse?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4596,The pitcher defeated the emissary and the uncle bought the toy the nephew.,Did the uncle buy the nephew the toy?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4597,The rancher diagnosed the lyricist but the artist carved the sculpture the kids.,Did the artist carve the kids the sculpture?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4598,The striker investigated the buyer when the cashier cashed the check the customer.,Did the cashier cash the customer the check?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4599,The meatpacker plagiarized the mover because the boy caught the ball the dog.,Did the boy catch the dog the ball?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4600,The solicitor esteemed the draftsman after the team chartered the bus the travelers.,Did the team charter the travelers the bus?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4601,The maid cleaned the rooms the siblings and the canadian swindled the peddler.,Did the maid clean the siblings the rooms?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4602,The researcher compiled the report the team but the mapmaker identified the janitor.,Did the researcher compile the team the report?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4603,The chef cooked the dinner the family when the butler victimized the opponent.,Did the chef cook the family the dinner?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4604,The tailor cut the fabric the friend because the co-worker insulted the midwife.,Did the tailor cut the friend the fabric?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4605,The designer designed the website the brother after the mailman plagiarized the trooper.,Did the designer design the brother the website?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4606,The finn cited the auctioneer and the engineers developed the software the company.,Did the engineers develop the company the software?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4607,The realtor antagonized the appraiser but the employee earned the bonus the colleague.,Did the employee earn the colleague the bonus?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4608,The veteran exposed the composer when the owner got the toy the cat.,Did the owner get the cat the toy?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4609,The insider seduced the husband because the master grilled the vegetables the friends.,Did the master grill the friends the vegetables?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4610,The archivist humiliated the trustee after the gardeners grew the garden the community.,Did the gardeners grow the community the garden?,No,second,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4611,The boy knitted the robe the patient and the higher-ups yelled the benefactor.,Did the boy knit the patient the robe?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4612,The owner kept the bone the dog but the neighbor offended the chemist.,Did the owner keep the dog the bone?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
4613,The chef made the cake the children when the agnostic consulted the bride.,Did the chef make the children the cake?,No,first,Experimental,two,BenefactiveDoubleObjectConstruction_implausible
